Month,Product_Name,State,Forecasted_Monthly_Units,Last_Price,Safety_Stock,Reorder_Point,Forecasted_Monthly_Sales
2025-01-31,Cleanser,CA,581.0,25.0,17.9,74.1,14526.07
2025-01-31,Cleanser,FL,598.9,25.0,17.7,75.7,14972.31
2025-01-31,Cleanser,IL,806.7,25.0,23.4,101.5,20166.25
2025-01-31,Cleanser,NY,648.8,25.0,19.2,82.0,16220.36
2025-01-31,Cleanser,TX,714.2,25.0,21.0,90.1,17853.95
2025-01-31,Face Serum,CA,390.6,75.0,12.7,50.5,29297.63
2025-01-31,Face Serum,FL,296.7,75.0,10.1,38.8,22255.31
2025-01-31,Face Serum,IL,351.5,75.0,11.7,45.7,26364.46
2025-01-31,Face Serum,NY,437.0,75.0,14.7,57.0,32772.64
2025-01-31,Face Serum,TX,328.3,75.0,11.1,42.9,24623.17
2025-01-31,Moisturizer,CA,960.6,50.0,29.5,122.5,48030.97
2025-01-31,Moisturizer,FL,652.5,50.0,19.2,82.4,32626.52
2025-01-31,Moisturizer,IL,1783.8,50.0,50.8,223.5,89189.7
2025-01-31,Moisturizer,NY,1578.2,50.0,43.9,196.6,78912.49
2025-01-31,Moisturizer,TX,894.9,50.0,25.8,112.4,44743.13
2025-01-31,Sunscreen,CA,1172.5,35.0,108.5,221.9,41036.02
2025-01-31,Sunscreen,FL,1270.4,35.0,120.0,243.0,44464.74
2025-01-31,Sunscreen,IL,369.3,35.0,37.6,73.3,12924.67
2025-01-31,Sunscreen,NY,424.1,35.0,43.5,84.6,14845.06
2025-01-31,Sunscreen,TX,1080.3,35.0,97.9,202.5,37811.93
2025-01-31,Toner,CA,437.9,30.0,9.6,51.9,13136.46
2025-01-31,Toner,FL,360.0,30.0,8.2,43.1,10799.85
2025-01-31,Toner,IL,506.2,30.0,10.8,59.8,15185.61
2025-01-31,Toner,NY,505.8,30.0,11.8,60.7,15174.73
2025-01-31,Toner,TX,378.1,30.0,9.4,46.0,11343.9
2025-02-28,Cleanser,CA,561.1,25.0,17.9,78.0,14026.42
2025-02-28,Cleanser,FL,537.7,25.0,17.7,75.3,13441.64
2025-02-28,Cleanser,IL,740.2,25.0,23.4,102.7,18504.33
