Date,Product_Name,State,Units_Sold,Stock_On_Hand,Selling_Price,Competitor_A_Price,Competitor_B_Price
2022-01-01,Sunscreen,CA,37,363,34.74,45.0,25.0
2022-01-01,Sunscreen,TX,38,362,34.74,45.0,25.0
2022-01-01,Sunscreen,NY,16,384,34.74,45.0,25.0
2022-01-01,Sunscreen,FL,51,349,34.74,45.0,25.0
2022-01-01,Sunscreen,IL,13,387,34.74,45.0,25.0
2022-01-01,Moisturizer,CA,36,264,49.05,60.0,35.0
2022-01-01,Moisturizer,TX,35,265,49.05,60.0,35.0
2022-01-01,Moisturizer,NY,48,252,49.05,60.0,35.0
2022-01-01,Moisturizer,FL,21,279,49.05,60.0,35.0
2022-01-01,Moisturizer,IL,64,236,49.05,60.0,35.0
2022-01-01,Toner,CA,16,184,30.2,40.0,20.0
2022-01-01,Toner,TX,14,186,30.2,40.0,20.0
2022-01-01,Toner,NY,18,182,30.2,40.0,20.0
2022-01-01,Toner,FL,11,189,30.2,40.0,20.0
2022-01-01,Toner,IL,17,183,30.2,40.0,20.0
2022-01-01,Face Serum,CA,16,134,75.06,90.0,55.0
2022-01-01,Face Serum,TX,12,138,75.06,90.0,55.0
2022-01-01,Face Serum,NY,17,133,75.06,90.0,55.0
2022-01-01,Face Serum,FL,10,140,75.06,90.0,55.0
2022-01-01,Face Serum,IL,14,136,75.06,90.0,55.0
2022-01-01,Cleanser,CA,21,229,24.35,35.0,18.0
2022-01-01,Cleanser,TX,30,220,24.35,35.0,18.0
2022-01-01,Cleanser,NY,26,224,24.35,35.0,18.0
2022-01-01,Cleanser,FL,21,229,24.35,35.0,18.0
2022-01-01,Cleanser,IL,27,223,24.35,35.0,18.0
2022-01-02,Sunscreen,CA,38,325,35.0,45.0,25.0
2022-01-02,Sunscreen,TX,32,330,35.0,45.0,25.0
2022-01-02,Sunscreen,NY,15,369,35.0,45.0,25.0
2022-01-02,Sunscreen,FL,42,307,35.0,45.0,25.0
2022-01-02,Sunscreen,IL,13,374,35.0,45.0,25.0
2022-01-02,Moisturizer,CA,31,233,50.0,60.0,35.0
2022-01-02,Moisturizer,TX,35,230,50.0,60.0,35.0
2022-01-02,Moisturizer,NY,70,182,50.0,60.0,35.0
2022-01-02,Moisturizer,FL,26,253,50.0,60.0,35.0
2022-01-02,Moisturizer,IL,64,172,50.0,60.0,35.0
2022-01-02,Toner,CA,17,167,30.0,40.0,20.0
2022-01-02,Toner,TX,12,174,30.0,40.0,20.0
2022-01-02,Toner,NY,15,167,30.0,40.0,20.0
2022-01-02,Toner,FL,13,176,30.0,40.0,20.0
2022-01-02,Toner,IL,16,167,30.0,40.0,20.0
2022-01-02,Face Serum,CA,12,122,75.0,90.0,55.0
2022-01-02,Face Serum,TX,10,128,75.0,90.0,55.0
2022-01-02,Face Serum,NY,14,119,75.0,90.0,55.0
2022-01-02,Face Serum,FL,10,130,75.0,90.0,55.0
2022-01-02,Face Serum,IL,13,123,75.0,90.0,55.0
2022-01-02,Cleanser,CA,23,206,25.0,35.0,18.0
2022-01-02,Cleanser,TX,28,192,25.0,35.0,18.0
2022-01-02,Cleanser,NY,25,199,25.0,35.0,18.0
2022-01-02,Cleanser,FL,21,208,25.0,35.0,18.0
2022-01-02,Cleanser,IL,26,197,25.0,35.0,18.0
2022-01-03,Sunscreen,CA,24,301,35.0,45.0,25.0
2022-01-03,Sunscreen,TX,28,302,35.0,45.0,25.0
2022-01-03,Sunscreen,NY,11,358,35.0,45.0,25.0
2022-01-03,Sunscreen,FL,31,276,35.0,45.0,25.0
2022-01-03,Sunscreen,IL,10,364,35.0,45.0,25.0
2022-01-03,Moisturizer,CA,24,209,50.0,60.0,35.0
2022-01-03,Moisturizer,TX,25,205,50.0,60.0,35.0
2022-01-03,Moisturizer,NY,42,140,50.0,60.0,35.0
2022-01-03,Moisturizer,FL,15,238,50.0,60.0,35.0
2022-01-03,Moisturizer,IL,47,125,50.0,60.0,35.0
2022-01-03,Toner,CA,13,154,30.0,40.0,20.0
2022-01-03,Toner,TX,11,163,30.0,40.0,20.0
2022-01-03,Toner,NY,16,151,30.0,40.0,20.0
2022-01-03,Toner,FL,10,166,30.0,40.0,20.0
2022-01-03,Toner,IL,17,150,30.0,40.0,20.0
2022-01-03,Face Serum,CA,9,113,75.0,90.0,55.0
2022-01-03,Face Serum,TX,8,120,75.0,90.0,55.0
2022-01-03,Face Serum,NY,12,107,75.0,90.0,55.0
2022-01-03,Face Serum,FL,6,124,75.0,90.0,55.0
2022-01-03,Face Serum,IL,10,113,75.0,90.0,55.0
2022-01-03,Cleanser,CA,17,189,25.0,35.0,18.0
2022-01-03,Cleanser,TX,19,173,25.0,35.0,18.0
2022-01-03,Cleanser,NY,16,183,25.0,35.0,18.0
2022-01-03,Cleanser,FL,13,195,25.0,35.0,18.0
